Rating,WorkLifeBalance,PerformanceReward,RetirementBenefits,HealthCareBenefits
1,InflexibleHours,IncentiveSystem,BenefitPlan,LifeInsurance
1,InflexibleHours,IncentiveSystem,ContributionPlan,MedicalInsurance 
1,InflexibleHours,IncentiveSystem,BenefitPlan,HealthSavingAccount
1,InflexibleHours,IncentiveSystem,ContributionPlan,LifeInsurance
2,InflexibleHours,IncentiveSystem,BenefitPlan,MedicalInsurance 
2,InflexibleHours,IncentiveSystem,ContributionPlan,HealthSavingAccount
2,InflexibleHours,PayPlan,BenefitPlan,LifeInsurance
2,InflexibleHours,PayPlan,ContributionPlan,MedicalInsurance 
2,InflexibleHours,PayPlan,BenefitPlan,HealthSavingAccount
3,InflexibleHours,PayPlan,ContributionPlan,LifeInsurance
3,InflexibleHours,PayPlan,BenefitPlan,MedicalInsurance 
3,InflexibleHours,PayPlan,ContributionPlan,HealthSavingAccount
3,InflexibleHours,Commission,BenefitPlan,LifeInsurance
3,InflexibleHours,Commission,ContributionPlan,MedicalInsurance 
4,InflexibleHours,Commission,BenefitPlan,HealthSavingAccount
4,InflexibleHours,Commission,ContributionPlan,LifeInsurance
4,InflexibleHours,Commission,BenefitPlan,MedicalInsurance 
4,InflexibleHours,Commission,ContributionPlan,HealthSavingAccount
5,FlexibleHours,IncentiveSystem,BenefitPlan,LifeInsurance
5,FlexibleHours,IncentiveSystem,ContributionPlan,MedicalInsurance 
5,FlexibleHours,IncentiveSystem,BenefitPlan,HealthSavingAccount
5,FlexibleHours,IncentiveSystem,ContributionPlan,LifeInsurance
6,FlexibleHours,IncentiveSystem,BenefitPlan,MedicalInsurance 
6,FlexibleHours,IncentiveSystem,ContributionPlan,HealthSavingAccount
6,FlexibleHours,PayPlan,BenefitPlan,LifeInsurance
7,FlexibleHours,PayPlan,ContributionPlan,MedicalInsurance 
7,FlexibleHours,PayPlan,BenefitPlan,HealthSavingAccount
7,FlexibleHours,PayPlan,ContributionPlan,LifeInsurance
8,FlexibleHours,PayPlan,BenefitPlan,MedicalInsurance 
8,FlexibleHours,PayPlan,ContributionPlan,HealthSavingAccount
9,FlexibleHours,Commission,BenefitPlan,LifeInsurance
9,FlexibleHours,Commission,ContributionPlan,MedicalInsurance 
9,FlexibleHours,Commission,BenefitPlan,HealthSavingAccount
9,FlexibleHours,Commission,ContributionPlan,LifeInsurance
10,FlexibleHours,Commission,BenefitPlan,MedicalInsurance 
10,FlexibleHours,Commission,ContributionPlan,HealthSavingAccount
